"year","ESOP","profit_sharing","stock_bonus"
1999,7217,448190,3552
2000,10204,630079,4847
2001,13228,637920,4793
2002,10512,661306,4770
2003,9747,637785,4626
2004,9677,633640,4816
2005,9367,647806,4752
2006,9136,658428,4775
2007,8735,656937,4526
2008,6636,588744,3413
2009,7216,226038,3862
2010,7084,172558,3793
2011,6875,148748,3656
2012,6795,138403,3725
2013,6701,133862,3952
2014,6671,131830,3958
2015,6594,127808,3939
2016,6533,124237,3958
2017,6422,122397,3961
2018,6343,121353,3952
2019,6420,122382,4074
2020,6526,122541,4251
2021,6457,120573,4292
2022,6498,120454,4429
2023,6533,108883,4499
2024,5629,98626,3921
